pl_name,radius_earth,mass_earth,semi_major_axis_au,period_days,insol_earth,t_eq_K,star_teff_K,star_radius_solar,star_mass_solar,source
2MASS J1551+0941,15.580509999999999,7627.92,,,,1653.0,,,,ExoplanetEU
2MASS J1552+2948,16.028869999999998,9547.6132,,,,1956.0,,,,ExoplanetEU
2MASS J1553+1532,,13348.859999999999,,,,980.0,,,,ExoplanetEU
2MASS J1553+1532 b,,12077.539999999999,4.2,16425.0,,890.0,,,,ExoplanetEU
2MASS J1554-3154 b,,10742.653999999999,883.0,,,,4318.64,1.283,0.7,ExoplanetEU
2MASS J1555-0956,11.54527,22604.0696,,,,2102.0,,,,ExoplanetEU
2MASS J1559+4403 Ab,,,0.0938,13.976,,,,,0.54,ExoplanetEU
2MASS J1610-3922 b,,8581.41,1.6,,,,3200.0,,0.205,ExoplanetEU
2MASS J1615+1340,10.53646,13460.1005,,,,906.0,,,,ExoplanetEU
2MASS J1617-1858,,4703.884,,,,,,,,ExoplanetEU
2MASS J1617-3828 b,,16113.981,721.0,,,,3968.0,0.869,0.62,ExoplanetEU
2MASS J1624+0029,10.53646,13615.8372,,,,,,,,ExoplanetEU
2MASS J1626+3925,11.54527,22575.4649,,,,2103.0,,,,ExoplanetEU
2MASS J1630-2018 b,,4290.705,551.63,,,,3981.0,0.9626,0.621,ExoplanetEU
2MASS J1632+1904,10.872729999999999,15719.871799999999,,,,,,,,ExoplanetEU
2MASS J1647+5632,13.67498,5720.94,,,,1244.0,,,,ExoplanetEU
2MASS J1657-5343 b,,9534.9,165.0,901915.0,,,3568.0,0.924,0.49,ExoplanetEU
2MASS J1657-5343 c,,6356.599999999999,180.0,1035140.0,,,3568.0,0.924,0.49,ExoplanetEU
2MASS J1707-0138 b,,11441.88,31.0,,,,,,0.076,ExoplanetEU
2MASS J1711+2232,,18434.14,,,,,,,,ExoplanetEU
2MASS J1711+2232 b,,11441.88,4.53,,,,,,,ExoplanetEU
2MASS J1726+1538,15.692599999999999,7646.989799999999,,,,1668.0,,,,ExoplanetEU
2MASS J1731+5310,,18434.14,,,,,,,,ExoplanetEU
2MASS J1731+5310 b,,15255.84,48.0,,,,,,,ExoplanetEU
2MASS J1737+5953,,18434.14,,,,,,,,ExoplanetEU
2MASS J1737+5953 b,,11441.88,50.0,,,,,,,ExoplanetEU
2MASS J1750+1759,10.872729999999999,15055.6071,,,,1228.0,,,,ExoplanetEU
2MASS J1807+5015,,5091.6366,,,,,,,,ExoplanetEU
2MASS J1839+4424 b,17.71022,12300.021,832.0,,,1800.0,2810.0,0.123,0.071,ExoplanetEU
2MASS J1841+3117,11.32109,21142.0516,,,,1914.0,,,,ExoplanetEU
2MASS J19262435-1045398 b,,15827.933999999997,0.431,175.8,,,3342.0,0.319,0.298,ExoplanetEU
2MASS J1935-2846,20.949621,2351.942,,,,2695.0,,,,ExoplanetEU
